dataset,label_column,setting,seed,window_size,window_stride,requested_states,auto_states,min_state_improvement,n_windows,true_state_count,inferred_state_count,adjusted_rand,aligned_accuracy,mean_label_purity,true_label_counts,inferred_state_counts,state_mapping
AReMActivities,activity,default_auto_k2_w300,3,300,150,2,True,0.12,197,6,1,0.0,0.2436548223350254,0.9873096446700508,bending1:22;bending2:19;cycling:48;lying:48;sitting:48;standing:12,0:197,"{""0"": ""cycling""}"
AReMActivities,activity,loose_auto_k2_w120,3,120,60,2,True,0.0,492,6,2,0.20951623388868726,0.45934959349593496,0.9949186991869918,bending1:56;bending2:48;cycling:119;lying:120;sitting:120;standing:29,0:319;1:173,"{""0"": ""lying"", ""1"": ""cycling""}"
AReMActivities,activity,forced_k2_w120,3,120,60,2,False,0.0,492,6,2,0.20951623388868726,0.45934959349593496,0.9949186991869918,bending1:56;bending2:48;cycling:119;lying:120;sitting:120;standing:29,0:319;1:173,"{""0"": ""lying"", ""1"": ""cycling""}"
AReMActivities,activity,loose_auto_k3_w120,3,120,60,3,True,0.0,492,6,3,0.2554559579736449,0.5142276422764228,0.9949186991869918,bending1:56;bending2:48;cycling:119;lying:120;sitting:120;standing:29,0:121;1:163;2:208,"{""0"": ""lying"", ""1"": ""cycling"", ""2"": ""sitting""}"
AReMActivities,activity,forced_k3_w120,3,120,60,3,False,0.0,492,6,3,0.2554559579736449,0.5142276422764228,0.9949186991869918,bending1:56;bending2:48;cycling:119;lying:120;sitting:120;standing:29,0:121;1:163;2:208,"{""0"": ""lying"", ""1"": ""cycling"", ""2"": ""sitting""}"
AReMActivities,activity,loose_auto_k4_w120,3,120,60,4,True,0.0,492,6,4,0.26832389705891224,0.47764227642276424,0.9949186991869918,bending1:56;bending2:48;cycling:119;lying:120;sitting:120;standing:29,0:146;1:205;2:51;3:90,"{""0"": ""cycling"", ""1"": ""sitting"", ""2"": ""lying"", ""3"": ""bending1""}"
AReMActivities,activity,forced_k4_w120,3,120,60,4,False,0.0,492,6,4,0.26832389705891224,0.47764227642276424,0.9949186991869918,bending1:56;bending2:48;cycling:119;lying:120;sitting:120;standing:29,0:146;1:205;2:51;3:90,"{""0"": ""cycling"", ""1"": ""sitting"", ""2"": ""lying"", ""3"": ""bending1""}"
AReMActivities,activity,loose_auto_k2_w300,3,300,150,2,True,0.0,197,6,2,0.2505899802096966,0.4873096446700508,0.9873096446700508,bending1:22;bending2:19;cycling:48;lying:48;sitting:48;standing:12,0:146;1:51,"{""0"": ""sitting"", ""1"": ""cycling""}"
AReMActivities,activity,forced_k2_w300,3,300,150,2,False,0.0,197,6,2,0.2505899802096966,0.4873096446700508,0.9873096446700508,bending1:22;bending2:19;cycling:48;lying:48;sitting:48;standing:12,0:146;1:51,"{""0"": ""sitting"", ""1"": ""cycling""}"
AReMActivities,activity,loose_auto_k3_w300,3,300,150,3,True,0.0,197,6,3,0.3145826665592322,0.49746192893401014,0.9873096446700508,bending1:22;bending2:19;cycling:48;lying:48;sitting:48;standing:12,0:40;1:107;2:50,"{""0"": ""bending2"", ""1"": ""lying"", ""2"": ""cycling""}"
AReMActivities,activity,forced_k3_w300,3,300,150,3,False,0.0,197,6,3,0.3145826665592322,0.49746192893401014,0.9873096446700508,bending1:22;bending2:19;cycling:48;lying:48;sitting:48;standing:12,0:40;1:107;2:50,"{""0"": ""bending2"", ""1"": ""lying"", ""2"": ""cycling""}"
AReMActivities,activity,loose_auto_k4_w300,3,300,150,4,True,0.0,197,6,4,0.23365416979189876,0.5228426395939086,0.9873096446700508,bending1:22;bending2:19;cycling:48;lying:48;sitting:48;standing:12,0:114;1:35;2:32;3:16,"{""0"": ""sitting"", ""1"": ""cycling"", ""2"": ""lying"", ""3"": ""bending1""}"
AReMActivities,activity,forced_k4_w300,3,300,150,4,False,0.0,197,6,4,0.23365416979189876,0.5228426395939086,0.9873096446700508,bending1:22;bending2:19;cycling:48;lying:48;sitting:48;standing:12,0:114;1:35;2:32;3:16,"{""0"": ""sitting"", ""1"": ""cycling"", ""2"": ""lying"", ""3"": ""bending1""}"
AReMActivities,activity,default_auto_k2_w300,4,300,150,2,True,0.12,197,6,1,0.0,0.2436548223350254,0.9873096446700508,bending1:22;bending2:19;cycling:48;lying:48;sitting:48;standing:12,0:197,"{""0"": ""cycling""}"
AReMActivities,activity,loose_auto_k2_w120,4,120,60,2,True,0.0,492,6,2,0.20888090883016297,0.4573170731707317,0.9949186991869918,bending1:56;bending2:48;cycling:119;lying:120;sitting:120;standing:29,0:321;1:171,"{""0"": ""lying"", ""1"": ""cycling""}"
AReMActivities,activity,forced_k2_w120,4,120,60,2,False,0.0,492,6,2,0.20888090883016297,0.4573170731707317,0.9949186991869918,bending1:56;bending2:48;cycling:119;lying:120;sitting:120;standing:29,0:321;1:171,"{""0"": ""lying"", ""1"": ""cycling""}"
AReMActivities,activity,loose_auto_k3_w120,4,120,60,3,True,0.0,492,6,3,0.2467867011101143,0.5142276422764228,0.9949186991869918,bending1:56;bending2:48;cycling:119;lying:120;sitting:120;standing:29,0:114;1:215;2:163,"{""0"": ""lying"", ""1"": ""sitting"", ""2"": ""cycling""}"
AReMActivities,activity,forced_k3_w120,4,120,60,3,False,0.0,492,6,3,0.2467867011101143,0.5142276422764228,0.9949186991869918,bending1:56;bending2:48;cycling:119;lying:120;sitting:120;standing:29,0:114;1:215;2:163,"{""0"": ""lying"", ""1"": ""sitting"", ""2"": ""cycling""}"
AReMActivities,activity,loose_auto_k4_w120,4,120,60,4,True,0.0,492,6,4,0.27665002852265846,0.4898373983739837,0.9949186991869918,bending1:56;bending2:48;cycling:119;lying:120;sitting:120;standing:29,0:183;1:142;2:68;3:99,"{""0"": ""sitting"", ""1"": ""cycling"", ""2"": ""bending1"", ""3"": ""lying""}"
AReMActivities,activity,forced_k4_w120,4,120,60,4,False,0.0,492,6,4,0.27665002852265846,0.4898373983739837,0.9949186991869918,bending1:56;bending2:48;cycling:119;lying:120;sitting:120;standing:29,0:183;1:142;2:68;3:99,"{""0"": ""sitting"", ""1"": ""cycling"", ""2"": ""bending1"", ""3"": ""lying""}"
AReMActivities,activity,loose_auto_k2_w300,4,300,150,2,True,0.0,197,6,2,0.2505899802096966,0.4873096446700508,0.9873096446700508,bending1:22;bending2:19;cycling:48;lying:48;sitting:48;standing:12,0:51;1:146,"{""0"": ""cycling"", ""1"": ""sitting""}"
AReMActivities,activity,forced_k2_w300,4,300,150,2,False,0.0,197,6,2,0.2505899802096966,0.4873096446700508,0.9873096446700508,bending1:22;bending2:19;cycling:48;lying:48;sitting:48;standing:12,0:51;1:146,"{""0"": ""cycling"", ""1"": ""sitting""}"
AReMActivities,activity,loose_auto_k3_w300,4,300,150,3,True,0.0,197,6,3,0.32243681853041145,0.5989847715736041,0.9873096446700508,bending1:22;bending2:19;cycling:48;lying:48;sitting:48;standing:12,0:37;1:109;2:51,"{""0"": ""lying"", ""1"": ""sitting"", ""2"": ""cycling""}"
AReMActivities,activity,forced_k3_w300,4,300,150,3,False,0.0,197,6,3,0.32243681853041145,0.5989847715736041,0.9873096446700508,bending1:22;bending2:19;cycling:48;lying:48;sitting:48;standing:12,0:37;1:109;2:51,"{""0"": ""lying"", ""1"": ""sitting"", ""2"": ""cycling""}"
AReMActivities,activity,loose_auto_k4_w300,4,300,150,4,True,0.0,197,6,4,0.34758900427049894,0.5888324873096447,0.9873096446700508,bending1:22;bending2:19;cycling:48;lying:48;sitting:48;standing:12,0:49;1:21;2:41;3:86,"{""0"": ""cycling"", ""1"": ""bending2"", ""2"": ""lying"", ""3"": ""sitting""}"
AReMActivities,activity,forced_k4_w300,4,300,150,4,False,0.0,197,6,4,0.34758900427049894,0.5888324873096447,0.9873096446700508,bending1:22;bending2:19;cycling:48;lying:48;sitting:48;standing:12,0:49;1:21;2:41;3:86,"{""0"": ""cycling"", ""1"": ""bending2"", ""2"": ""lying"", ""3"": ""sitting""}"
