dataset,setting,method,n,ridge_alpha,graph_min_weight,graph_weight_power,graph_self_weight,state_count,auto_states,min_state_improvement,threshold_pass_rate,inferred_state_count_distribution,mae_mean,mae_std,rmse_mean,rmse_std,node_rmse_mean_mean,node_rmse_mean_std,node_rmse_max_mean,node_rmse_max_std,kmeans_improvement_mean,kmeans_improvement_std,temporal_coherence_mean,temporal_coherence_std,adjusted_rand_mean,adjusted_rand_std,aligned_accuracy_mean,aligned_accuracy_std,mean_label_purity_mean,mean_label_purity_std,delta_vs_same_alpha_dense_rmse,delta_vs_best_dense_rmse,delta_vs_dynvar_weighted_rmse,meaningfully_beats_same_alpha_dense,meaningfully_beats_best_dense,meaningfully_beats_dynvar_weighted
UCIHARWindowSignals,auto_k2_min_0.08,DynVAR-Lasso Weighted Ridge,5,30.0,0.01,4.0,1.0,2,True,0.08,0.0,"{""1"": 5}",0.32047097797356,0.0,0.6786703965069079,0.0,0.6276494479383902,0.0,0.9148400937660097,1.2412670766236366e-16,0.06669603915271934,0.00012497378906775627,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.4019444444444444,6.206335383118183e-17,-0.0011212305283135882,-0.0009846950937778542,0.0,True,False,False
UCIHARWindowSignals,auto_k2_min_0.08,DynVAR-Lasso Weighted Ridge,5,100.0,0.01,4.0,1.0,2,True,0.08,0.0,"{""1"": 5}",0.32137746963044955,0.0,0.6791994171717621,0.0,0.6285675260876834,0.0,0.9162524931997262,1.2412670766236366e-16,0.06669603915271934,0.00012497378906775627,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.4019444444444444,6.206335383118183e-17,-0.00045567442892358034,-0.00045567442892358034,0.0,False,False,False
UCIHARWindowSignals,auto_k2_min_0.08,STCG-v1 Weighted Ridge,5,30.0,0.01,4.0,1.0,2,True,0.08,0.0,"{""1"": 5}",0.32047097797356,0.0,0.6786703965069079,0.0,0.6276494479383902,0.0,0.9148400937660097,1.2412670766236366e-16,0.06669603915271934,0.00012497378906775627,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.4019444444444444,6.206335383118183e-17,-0.0011212305283135882,-0.0009846950937778542,0.0,True,False,False
UCIHARWindowSignals,auto_k2_min_0.08,STCG-v1 Weighted Ridge,5,100.0,0.01,4.0,1.0,2,True,0.08,0.0,"{""1"": 5}",0.32137746963044955,0.0,0.6791994171717621,0.0,0.6285675260876834,0.0,0.9162524931997262,1.2412670766236366e-16,0.06669603915271934,0.00012497378906775627,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.4019444444444444,6.206335383118183e-17,-0.00045567442892358034,-0.00045567442892358034,0.0,False,False,False
UCIHARWindowSignals,auto_k2_min_0.12,Dense Ridge,5,30.0,,,,2,True,0.12,0.0,"{""1"": 5}",0.3228103533621915,0.0,0.6797916270352214,0.0,0.6287594191997212,0.0,0.914675771350242,1.2412670766236366e-16,0.06669603915271934,0.00012497378906775627,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.4019444444444444,6.206335383118183e-17,0.0,0.0001365354345357339,nan,False,False,False
UCIHARWindowSignals,auto_k2_min_0.12,Dense Ridge,5,100.0,,,,2,True,0.12,0.0,"{""1"": 5}",0.3248607761418505,0.0,0.6796550916006857,0.0,0.6293166483385894,0.0,0.9140601928068259,1.2412670766236366e-16,0.06669603915271934,0.00012497378906775627,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.4019444444444444,6.206335383118183e-17,0.0,0.0,nan,False,False,False
UCIHARWindowSignals,auto_k2_min_0.12,DynVAR-Lasso Weighted Ridge,5,30.0,0.01,4.0,1.0,2,True,0.12,0.0,"{""1"": 5}",0.32047097797356,0.0,0.6786703965069079,0.0,0.6276494479383902,0.0,0.9148400937660097,1.2412670766236366e-16,0.06669603915271934,0.00012497378906775627,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.4019444444444444,6.206335383118183e-17,-0.0011212305283135882,-0.0009846950937778542,0.0,True,False,False
UCIHARWindowSignals,auto_k2_min_0.12,DynVAR-Lasso Weighted Ridge,5,100.0,0.01,4.0,1.0,2,True,0.12,0.0,"{""1"": 5}",0.32137746963044955,0.0,0.6791994171717621,0.0,0.6285675260876834,0.0,0.9162524931997262,1.2412670766236366e-16,0.06669603915271934,0.00012497378906775627,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.4019444444444444,6.206335383118183e-17,-0.00045567442892358034,-0.00045567442892358034,0.0,False,False,False
UCIHARWindowSignals,auto_k2_min_0.12,STCG-v1 Weighted Ridge,5,30.0,0.01,4.0,1.0,2,True,0.12,0.0,"{""1"": 5}",0.32047097797356,0.0,0.6786703965069079,0.0,0.6276494479383902,0.0,0.9148400937660097,1.2412670766236366e-16,0.06669603915271934,0.00012497378906775627,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.4019444444444444,6.206335383118183e-17,-0.0011212305283135882,-0.0009846950937778542,0.0,True,False,False
UCIHARWindowSignals,auto_k2_min_0.12,STCG-v1 Weighted Ridge,5,100.0,0.01,4.0,1.0,2,True,0.12,0.0,"{""1"": 5}",0.32137746963044955,0.0,0.6791994171717621,0.0,0.6285675260876834,0.0,0.9162524931997262,1.2412670766236366e-16,0.06669603915271934,0.00012497378906775627,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.4019444444444444,6.206335383118183e-17,-0.00045567442892358034,-0.00045567442892358034,0.0,False,False,False
UCIHARWindowSignals,auto_k2_min_0.16,Dense Ridge,5,30.0,,,,2,True,0.16,0.0,"{""1"": 5}",0.3228103533621915,0.0,0.6797916270352214,0.0,0.6287594191997212,0.0,0.914675771350242,1.2412670766236366e-16,0.06669603915271934,0.00012497378906775627,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.4019444444444444,6.206335383118183e-17,0.0,0.0001365354345357339,nan,False,False,False
UCIHARWindowSignals,auto_k2_min_0.16,Dense Ridge,5,100.0,,,,2,True,0.16,0.0,"{""1"": 5}",0.3248607761418505,0.0,0.6796550916006857,0.0,0.6293166483385894,0.0,0.9140601928068259,1.2412670766236366e-16,0.06669603915271934,0.00012497378906775627,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.4019444444444444,6.206335383118183e-17,0.0,0.0,nan,False,False,False
UCIHARWindowSignals,auto_k2_min_0.16,DynVAR-Lasso Weighted Ridge,5,30.0,0.01,4.0,1.0,2,True,0.16,0.0,"{""1"": 5}",0.32047097797356,0.0,0.6786703965069079,0.0,0.6276494479383902,0.0,0.9148400937660097,1.2412670766236366e-16,0.06669603915271934,0.00012497378906775627,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.4019444444444444,6.206335383118183e-17,-0.0011212305283135882,-0.0009846950937778542,0.0,True,False,False
