axis,value,method,n,edge_auc_mean,edge_auc_std,pair_auc_mean,pair_auc_std,precision_at_k_mean,precision_at_k_std,shd_mean,shd_std,lag_accuracy_mean,lag_accuracy_std
obs_noise,0.1,VAR-Lasso,20,0.7786695036457579,0.0471574108859838,0.8101804139371339,0.05424553012498774,0.6237817873864793,0.051469922567106245,41.0,7.240238437481112,0.7713414283605178,0.05997751413569101
obs_noise,0.2,DynVAR-Lasso,20,0.7838606316337458,0.046229101929829305,0.8104812595479322,0.06280612970684595,0.6345462793702984,0.050695897130682614,39.7,6.199320845654661,0.78472288474409,0.06253283953077789
obs_noise,0.2,STCG-v1,20,0.8040099344742888,0.04505949936829108,0.8311389603390683,0.055265662007249985,0.6532946998883057,0.04869218666619997,37.7,6.199320845654661,0.794554502469465,0.06117496345686959
obs_noise,0.2,VAR-Lasso,20,0.770763712550545,0.0488359020612261,0.8032867904111983,0.059365395209962986,0.621036688796116,0.05452626227208392,41.3,7.574889264432916,0.7701358963550821,0.06648921795555168
timesteps,300,DynVAR-Lasso,20,0.6614257984354031,0.04179145306574256,0.6596788868997882,0.0634464014046994,0.49190895638931176,0.05076747897441892,55.2,6.786984447804256,0.6414372385321836,0.0828699791261655
timesteps,300,STCG-v1,20,0.6604885778561137,0.041862511279541444,0.6483629439215237,0.06315812393163078,0.4804789793443425,0.050101690639195395,56.3,5.322247249938101,0.6474717474332645,0.07773330905549111
timesteps,300,VAR-Lasso,20,0.6607207366720256,0.04924716576007066,0.6653492155781355,0.09539185188101552,0.4741942284468199,0.05990608949732352,57.0,6.537342128515468,0.6460729413339908,0.06668855773412213
timesteps,600,DynVAR-Lasso,20,0.7479632763437694,0.034448027288988506,0.7703777350891697,0.06569380254812326,0.5811866035247297,0.04787601203999575,45.4,5.275564325014758,0.7588889210952661,0.06186536149017472
timesteps,600,STCG-v1,20,0.745845445929122,0.03698993588149005,0.7662770031863799,0.07696849706980254,0.5693138826635764,0.056678896630970324,46.6,5.432843590025781,0.7430170135623515,0.06321471514947144
timesteps,600,VAR-Lasso,20,0.7094352888684061,0.044999399409686516,0.7389925567170843,0.07184930171796393,0.5351720597123456,0.05046782675545576,50.5,6.353614802034475,0.7082150431124686,0.08586533301476819
timesteps,1000,DynVAR-Lasso,20,0.7981215401291505,0.04046714339425339,0.8296617812582345,0.05822868348922267,0.6456914249249437,0.0465488457214559,38.6,6.361065782927955,0.7969769544734653,0.05836434751696674
timesteps,1000,STCG-v1,20,0.8132802925212879,0.04724421251692514,0.8399726304032873,0.05640270139166802,0.6741484475281447,0.05843843477061532,35.4,6.588666505127534,0.8127801472780221,0.062408885638414804
timesteps,1000,VAR-Lasso,20,0.7796054800254605,0.045712913498060476,0.8081863899031102,0.05204041528202781,0.6250966042394864,0.05189986447991404,40.8,6.879412459612644,0.7669897179898728,0.06236080229714208
