dataset,method,n,ridge_alpha,graph_min_weight,graph_weight_power,graph_self_weight,mae_mean,mae_std,rmse_mean,rmse_std,node_rmse_mean_mean,node_rmse_mean_std,node_rmse_max_mean,node_rmse_max_std,delta_vs_same_alpha_dense_rmse,delta_vs_best_dense_rmse,delta_vs_persistence_rmse,beats_same_alpha_dense,beats_best_dense,beats_persistence,meaningfully_beats_same_alpha_dense,meaningfully_beats_best_dense,meaningfully_beats_persistence
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.3,0.6,1.0,1.0,0.5740600085664447,0.0,0.9117939207888275,1.2412670766236366e-16,0.8422431100980157,1.2412670766236366e-16,1.4555043559187386,0.0,-3.778411289401262e-07,0.0026783983182658844,-0.21621089474383548,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.3,0.6,2.0,1.0,0.574059765696833,0.0,0.9117936235229053,0.0,0.8422427745267622,1.2412670766236366e-16,1.4555040884367894,0.0,-6.75107051151258e-07,0.0026781010523436732,-0.2162111920097577,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,0.3,0.6,4.0,1.0,0.5740594520487896,0.0,0.9117932273120447,0.0,0.8422423378392134,1.2412670766236366e-16,1.4555036520306868,0.0,-1.0713179117161076e-06,0.0026777048414831084,-0.21621158822061826,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,1.0,0.01,0.5,1.0,0.5740423661503881,0.0,0.9117714802699257,0.0,0.8422162017054007,1.2412670766236366e-16,1.4554928998253,0.0,-1.9622985552025796e-06,0.002655957799364117,-0.21623333526273725,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,1.0,0.01,1.0,1.0,0.5740400939796545,0.0,0.9117688119045532,0.0,0.8422131877280797,0.0,1.455491144647809,0.0,-4.630663927751577e-06,0.002653289433991568,-0.2162360036281098,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,1.0,0.01,2.0,1.0,0.574032276664601,0.0,0.9117597903822938,0.0,0.8422031053036694,0.0,1.455486102156904,0.0,-1.3652186187096405e-05,0.002644267911732223,-0.21624502515036914,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,1.0,0.01,4.0,1.0,0.5739936556802305,0.0,0.9117164431505185,0.0,0.8421548711974267,1.2412670766236366e-16,1.455467295908337,0.0,-5.6999417962444454e-05,0.002600920679956875,-0.2162883723821445,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,1.0,0.03,0.5,1.0,0.5740424119864683,0.0,0.9117715341083554,0.0,0.8422162625099678,1.2412670766236366e-16,1.455492935259995,0.0,-1.908460125488176e-06,0.0026560116377938314,-0.21623328142430753,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,1.0,0.03,1.0,1.0,0.5740402545264458,0.0,0.9117689972383953,0.0,0.8422133943937455,1.2412670766236366e-16,1.45549124867376,0.0,-4.4453300855895606e-06,0.00265347476783373,-0.21623581829426763,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,1.0,0.03,2.0,1.0,0.5740334849646235,0.0,0.9117611609352917,1.2412670766236366e-16,0.8422045756903497,0.0,1.455486724451972,0.0,-1.2281633189226149e-05,0.0026456384647300935,-0.21624365459737127,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,1.0,0.03,4.0,1.0,0.5740105659839204,0.0,0.9117350150161625,0.0,0.8421747328922141,1.2412670766236366e-16,1.455472057492527,0.0,-3.8427552318420766e-05,0.002619492545600899,-0.21626980051650047,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,1.0,0.1,0.5,1.0,0.5740425663403846,0.0,0.9117717156879565,0.0,0.8422164677561714,1.2412670766236366e-16,1.4554930563289323,0.0,-1.7268805244663454e-06,0.0026561932173948533,-0.2162330998447065,True,False,True,False,False,True
AReMActivities,DynVAR-Lasso Weighted Ridge,5,1.0,0.1,1.0,1.0,0.57404075460911,0.0,0.9117695761866871,0.0,0.8422140432601587,0.0,1.455491582667763,0.0,-3.866381793837803e-06,0.002654053716125482,-0.21623523934597588,True,False,True,False,False,True
