axis,value,seed,method,timesteps,noise_scale,observation_noise,edge_prob,edge_auc,pair_auc,precision_at_k,shd,lag_accuracy,true_edges,edge_density
obs_noise,0.2,2,DynVAR-Lasso,1000,0.1,0.2,0.18,0.8143236074270557,0.8578125,0.6538461538461539,36.0,0.775,52.0,0.30952380952380953
obs_noise,0.2,2,STCG-v1,1000,0.1,0.2,0.18,0.8446618037135278,0.8765625,0.6923076923076923,32.0,0.75,52.0,0.30952380952380953
obs_noise,0.2,3,VAR-Lasso,1000,0.1,0.2,0.18,0.6745825034472193,0.7653061224489796,0.5573770491803278,54.0,0.7142857142857143,61.0,0.3630952380952381
obs_noise,0.2,3,DynVAR-Lasso,1000,0.1,0.2,0.18,0.7553240386088556,0.8010204081632653,0.6229508196721312,46.0,0.7857142857142857,61.0,0.3630952380952381
obs_noise,0.2,3,STCG-v1,1000,0.1,0.2,0.18,0.7781522904856749,0.8401360544217688,0.6557377049180327,42.0,0.7857142857142857,61.0,0.3630952380952381
obs_noise,0.2,4,VAR-Lasso,1000,0.1,0.2,0.18,0.8720836685438456,0.8845528455284553,0.7272727272727273,30.0,0.8536585365853658,55.0,0.3273809523809524
obs_noise,0.2,4,DynVAR-Lasso,1000,0.1,0.2,0.18,0.8337892196299276,0.8666666666666667,0.7090909090909091,32.0,0.8048780487804879,55.0,0.3273809523809524
obs_noise,0.2,4,STCG-v1,1000,0.1,0.2,0.18,0.8640386162510056,0.8715447154471545,0.7272727272727273,30.0,0.9024390243902439,55.0,0.3273809523809524
obs_noise,0.2,5,VAR-Lasso,1000,0.1,0.2,0.18,0.8098441345365053,0.8830409356725146,0.660377358490566,36.0,0.7631578947368421,53.0,0.31547619047619047
obs_noise,0.2,5,DynVAR-Lasso,1000,0.1,0.2,0.18,0.8152584085315833,0.8801169590643275,0.6792452830188679,34.0,0.7894736842105263,53.0,0.31547619047619047
obs_noise,0.2,5,STCG-v1,1000,0.1,0.2,0.18,0.8515176374077112,0.9078947368421053,0.660377358490566,36.0,0.7894736842105263,53.0,0.31547619047619047
obs_noise,0.2,6,VAR-Lasso,1000,0.1,0.2,0.18,0.7888453314326443,0.7444005270092227,0.6086956521739131,36.0,0.7272727272727273,46.0,0.27380952380952384
obs_noise,0.2,6,DynVAR-Lasso,1000,0.1,0.2,0.18,0.7712045616535994,0.782608695652174,0.6304347826086957,34.0,0.8181818181818182,46.0,0.27380952380952384
obs_noise,0.2,6,STCG-v1,1000,0.1,0.2,0.18,0.7817177476835353,0.7747035573122529,0.6304347826086957,34.0,0.8181818181818182,46.0,0.27380952380952384
obs_noise,0.2,7,VAR-Lasso,1000,0.1,0.2,0.18,0.7515501927266633,0.8708333333333333,0.6666666666666666,34.0,0.6944444444444444,51.0,0.30357142857142855
obs_noise,0.2,7,DynVAR-Lasso,1000,0.1,0.2,0.18,0.6988436400201106,0.7597222222222222,0.5294117647058824,48.0,0.6388888888888888,51.0,0.30357142857142855
obs_noise,0.2,7,STCG-v1,1000,0.1,0.2,0.18,0.7077258253728842,0.8222222222222222,0.5098039215686274,50.0,0.6388888888888888,51.0,0.30357142857142855
obs_noise,0.2,8,VAR-Lasso,1000,0.1,0.2,0.18,0.6971003134796239,0.7073906485671192,0.5344827586206896,54.0,0.7692307692307693,58.0,0.34523809523809523
obs_noise,0.2,8,DynVAR-Lasso,1000,0.1,0.2,0.18,0.7170846394984326,0.7616892911010558,0.6206896551724138,44.0,0.7435897435897436,58.0,0.34523809523809523
obs_noise,0.2,8,STCG-v1,1000,0.1,0.2,0.18,0.7537617554858934,0.7918552036199095,0.6206896551724138,44.0,0.7948717948717948,58.0,0.34523809523809523
obs_noise,0.2,9,VAR-Lasso,1000,0.1,0.2,0.18,0.7004702194357367,0.7719298245614035,0.5689655172413793,50.0,0.631578947368421,58.0,0.34523809523809523
obs_noise,0.2,9,DynVAR-Lasso,1000,0.1,0.2,0.18,0.7018808777429467,0.8011695906432749,0.5517241379310345,52.0,0.7105263157894737,58.0,0.34523809523809523
obs_noise,0.2,9,STCG-v1,1000,0.1,0.2,0.18,0.7330721003134796,0.8084795321637427,0.603448275862069,46.0,0.7105263157894737,58.0,0.34523809523809523
obs_noise,0.2,10,VAR-Lasso,1000,0.1,0.2,0.18,0.8113207547169812,0.8347953216374269,0.6981132075471698,32.0,0.8421052631578947,53.0,0.31547619047619047
obs_noise,0.2,10,DynVAR-Lasso,1000,0.1,0.2,0.18,0.8045939294503691,0.8377192982456141,0.660377358490566,36.0,0.8947368421052632,53.0,0.31547619047619047
obs_noise,0.2,10,STCG-v1,1000,0.1,0.2,0.18,0.8244462674323215,0.8567251461988304,0.660377358490566,36.0,0.8421052631578947,53.0,0.31547619047619047
obs_noise,0.2,11,VAR-Lasso,1000,0.1,0.2,0.18,0.8108608205953338,0.7261904761904762,0.6909090909090909,34.0,0.8095238095238095,55.0,0.3273809523809524
obs_noise,0.2,11,DynVAR-Lasso,1000,0.1,0.2,0.18,0.7882542236524538,0.6870748299319728,0.6909090909090909,34.0,0.7380952380952381,55.0,0.3273809523809524
obs_noise,0.2,11,STCG-v1,1000,0.1,0.2,0.18,0.8096540627514078,0.7857142857142857,0.6909090909090909,34.0,0.7380952380952381,55.0,0.3273809523809524
obs_noise,0.2,12,VAR-Lasso,1000,0.1,0.2,0.18,0.7857374918778428,0.8625,0.6481481481481481,38.0,0.8611111111111112,54.0,0.32142857142857145
obs_noise,0.2,12,DynVAR-Lasso,1000,0.1,0.2,0.18,0.8200129954515919,0.8708333333333333,0.6851851851851852,34.0,0.8888888888888888,54.0,0.32142857142857145
obs_noise,0.2,12,STCG-v1,1000,0.1,0.2,0.18,0.8117283950617284,0.8569444444444444,0.6666666666666666,36.0,0.8611111111111112,54.0,0.32142857142857145
obs_noise,0.2,13,VAR-Lasso,1000,0.1,0.2,0.18,0.7633228840125392,0.7626016260162601,0.6206896551724138,44.0,0.7317073170731707,58.0,0.34523809523809523
obs_noise,0.2,13,DynVAR-Lasso,1000,0.1,0.2,0.18,0.8084639498432602,0.816260162601626,0.6379310344827587,42.0,0.8536585365853658,58.0,0.34523809523809523
obs_noise,0.2,13,STCG-v1,1000,0.1,0.2,0.18,0.8286833855799373,0.8016260162601626,0.6551724137931034,40.0,0.8536585365853658,58.0,0.34523809523809523
obs_noise,0.2,14,VAR-Lasso,1000,0.1,0.2,0.18,0.7542765502494654,0.708843537414966,0.5434782608695652,42.0,0.7714285714285715,46.0,0.27380952380952384
obs_noise,0.2,14,DynVAR-Lasso,1000,0.1,0.2,0.18,0.844440484675695,0.7414965986394558,0.5869565217391305,38.0,0.8285714285714286,46.0,0.27380952380952384
obs_noise,0.2,14,STCG-v1,1000,0.1,0.2,0.18,0.8385602280826799,0.745578231292517,0.6521739130434783,32.0,0.8,46.0,0.27380952380952384
obs_noise,0.2,15,VAR-Lasso,1000,0.1,0.2,0.18,0.7608695652173914,0.77734375,0.5869565217391305,38.0,0.71875,46.0,0.27380952380952384
obs_noise,0.2,15,DynVAR-Lasso,1000,0.1,0.2,0.18,0.7548111190306486,0.8385416666666666,0.5869565217391305,38.0,0.71875,46.0,0.27380952380952384
obs_noise,0.2,15,STCG-v1,1000,0.1,0.2,0.18,0.7617605131860299,0.79296875,0.6086956521739131,36.0,0.75,46.0,0.27380952380952384
obs_noise,0.2,16,VAR-Lasso,1000,0.1,0.2,0.18,0.7096702317290553,0.7656529516994633,0.5909090909090909,54.0,0.6744186046511628,66.0,0.39285714285714285
obs_noise,0.2,16,DynVAR-Lasso,1000,0.1,0.2,0.18,0.7263814616755794,0.6976744186046512,0.6212121212121212,50.0,0.7441860465116279,66.0,0.39285714285714285
obs_noise,0.2,16,STCG-v1,1000,0.1,0.2,0.18,0.7572786690433749,0.7352415026833632,0.6060606060606061,52.0,0.7674418604651163,66.0,0.39285714285714285
obs_noise,0.2,17,VAR-Lasso,1000,0.1,0.2,0.18,0.7669278996865204,0.821875,0.603448275862069,46.0,0.8,58.0,0.34523809523809523
obs_noise,0.2,17,DynVAR-Lasso,1000,0.1,0.2,0.18,0.8068965517241379,0.90625,0.6551724137931034,40.0,0.8,58.0,0.34523809523809523
obs_noise,0.2,17,STCG-v1,1000,0.1,0.2,0.18,0.8219435736677116,0.9296875,0.7068965517241379,34.0,0.8,58.0,0.34523809523809523
obs_noise,0.2,18,VAR-Lasso,1000,0.1,0.2,0.18,0.8027128005198181,0.8698830409356725,0.6666666666666666,36.0,0.8157894736842105,54.0,0.32142857142857145
obs_noise,0.2,18,DynVAR-Lasso,1000,0.1,0.2,0.18,0.825211176088369,0.8391812865497076,0.6666666666666666,36.0,0.8157894736842105,54.0,0.32142857142857145
obs_noise,0.2,18,STCG-v1,1000,0.1,0.2,0.18,0.8505523066926576,0.9064327485380117,0.7037037037037037,32.0,0.8421052631578947,54.0,0.32142857142857145
obs_noise,0.2,19,VAR-Lasso,1000,0.1,0.2,0.18,0.7548691418137553,0.7983739837398374,0.6451612903225806,44.0,0.8048780487804879,62.0,0.36904761904761907
obs_noise,0.2,19,DynVAR-Lasso,1000,0.1,0.2,0.18,0.7973219720024346,0.7479674796747967,0.6935483870967742,38.0,0.7804878048780488,62.0,0.36904761904761907
obs_noise,0.2,19,STCG-v1,1000,0.1,0.2,0.18,0.8081253804017042,0.7804878048780488,0.6935483870967742,38.0,0.8292682926829268,62.0,0.36904761904761907
timesteps,300,0,VAR-Lasso,300,0.1,0.0,0.18,0.6755273537986624,0.8055555555555556,0.40816326530612246,58.0,0.5833333333333334,49.0,0.2916666666666667
timesteps,300,0,DynVAR-Lasso,300,0.1,0.0,0.18,0.6674669867947179,0.5833333333333334,0.4897959183673469,50.0,0.6111111111111112,49.0,0.2916666666666667
timesteps,300,0,STCG-v1,300,0.1,0.0,0.18,0.6708969302006517,0.6083333333333333,0.42857142857142855,56.0,0.5833333333333334,49.0,0.2916666666666667
timesteps,300,1,VAR-Lasso,300,0.1,0.0,0.18,0.6400259909031839,0.5414634146341464,0.4074074074074074,64.0,0.5609756097560976,54.0,0.32142857142857145
timesteps,300,1,DynVAR-Lasso,300,0.1,0.0,0.18,0.6757634827810266,0.6520325203252032,0.5370370370370371,50.0,0.6341463414634146,54.0,0.32142857142857145
timesteps,300,1,STCG-v1,300,0.1,0.0,0.18,0.6642300194931774,0.6699186991869919,0.5,54.0,0.6585365853658537,54.0,0.32142857142857145
timesteps,300,2,VAR-Lasso,300,0.1,0.0,0.18,0.687251326259947,0.7828125,0.4423076923076923,58.0,0.575,52.0,0.30952380952380953
timesteps,300,2,DynVAR-Lasso,300,0.1,0.0,0.18,0.684184350132626,0.696875,0.46153846153846156,56.0,0.6,52.0,0.30952380952380953
timesteps,300,2,STCG-v1,300,0.1,0.0,0.18,0.6647877984084881,0.6578125,0.46153846153846156,56.0,0.55,52.0,0.30952380952380953
timesteps,300,3,VAR-Lasso,300,0.1,0.0,0.18,0.5183851692967673,0.5102040816326531,0.4098360655737705,72.0,0.5952380952380952,61.0,0.3630952380952381
timesteps,300,3,DynVAR-Lasso,300,0.1,0.0,0.18,0.610694040140953,0.5782312925170068,0.47540983606557374,64.0,0.5952380952380952,61.0,0.3630952380952381
timesteps,300,3,STCG-v1,300,0.1,0.0,0.18,0.610694040140953,0.6054421768707483,0.4918032786885246,62.0,0.6428571428571429,61.0,0.3630952380952381
timesteps,300,4,VAR-Lasso,300,0.1,0.0,0.18,0.7090909090909091,0.7268292682926829,0.4909090909090909,56.0,0.7073170731707317,55.0,0.3273809523809524
timesteps,300,4,DynVAR-Lasso,300,0.1,0.0,0.18,0.6596942880128721,0.6308943089430894,0.4909090909090909,56.0,0.6585365853658537,55.0,0.3273809523809524
timesteps,300,4,STCG-v1,300,0.1,0.0,0.18,0.6300884955752213,0.6455284552845528,0.43636363636363634,62.0,0.6341463414634146,55.0,0.3273809523809524
timesteps,300,5,VAR-Lasso,300,0.1,0.0,0.18,0.6735028712059065,0.7456140350877193,0.5283018867924528,50.0,0.6578947368421053,53.0,0.31547619047619047
