dataset,seed,method,graph_fraction,lasso_alpha,window_size,window_stride,feature_budget_per_target,mae,rmse,node_rmse_mean,node_rmse_max
ETTh1,0,Nonself Dense Ridge,0.25,0.003,600,300,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,0.25,0.003,600,300,5,0.5313880973724636,0.7793181459764821,0.662890658702964,1.613096638720609
ETTh1,0,STCG-v1 Graph Ridge,0.25,0.003,600,300,5,0.5313880973724636,0.7793181459764821,0.662890658702964,1.613096638720609
ETTh1,0,Persistence,0.5,0.003,600,300,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,0.5,0.003,600,300,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,0.5,0.003,600,300,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,0.5,0.003,600,300,9,0.5070469736584591,0.7613859393075489,0.6355499192974323,1.6518593177999354
ETTh1,0,STCG-v1 Graph Ridge,0.5,0.003,600,300,9,0.5070469736584591,0.7613859393075489,0.6355499192974323,1.6518593177999354
ETTh1,0,Persistence,0.75,0.003,600,300,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,0.75,0.003,600,300,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,0.75,0.003,600,300,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,0.75,0.003,600,300,14,0.522039311057461,0.777585575496994,0.6532510061057036,1.6587625246414375
ETTh1,0,STCG-v1 Graph Ridge,0.75,0.003,600,300,14,0.522039311057461,0.777585575496994,0.6532510061057036,1.6587625246414375
ETTh1,0,Persistence,1.0,0.003,600,300,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,1.0,0.003,600,300,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,1.0,0.003,600,300,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,1.0,0.003,600,300,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,STCG-v1 Graph Ridge,1.0,0.003,600,300,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,Persistence,0.25,0.003,1200,600,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,0.25,0.003,1200,600,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,0.25,0.003,1200,600,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,0.25,0.003,1200,600,5,0.5279536202581692,0.7702532643053572,0.6561225952347477,1.6169438889076362
ETTh1,0,STCG-v1 Graph Ridge,0.25,0.003,1200,600,5,0.5409273028228629,0.7848333207631224,0.6744384176859982,1.6074537523443981
ETTh1,0,Persistence,0.5,0.003,1200,600,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,0.5,0.003,1200,600,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,0.5,0.003,1200,600,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,0.5,0.003,1200,600,9,0.5436609627051915,0.7970970417284415,0.6788570892983212,1.640664465619653
ETTh1,0,STCG-v1 Graph Ridge,0.5,0.003,1200,600,9,0.5640404173845021,0.8235078825960678,0.704742801756928,1.648173834810229
ETTh1,0,Persistence,0.75,0.003,1200,600,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,0.75,0.003,1200,600,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
