dataset,label_column,horizon_cycles,lookback_cycles,method,train_rows,validation_rows,test_rows,train_positive_rate,validation_positive_rate,test_positive_rate,train_positives,validation_positives,test_positives,threshold_metric,threshold,validation_threshold_metric,balanced_accuracy,precision,recall,f1,average_precision,roc_auc
HydraulicSystems,stable_flag,5,40,Train Majority,1296,216,648,0.11882716049382716,0.10185185185185185,0.12808641975308643,154,22,83,f1,0.11882716049382716,0.18487394957983194,0.5,0.12808641975308643,1.0,0.2270861833105335,0.12808641975308643,0.5
HydraulicSystems,stable_flag,5,40,Sensor Logistic,1296,216,648,0.11882716049382716,0.10185185185185185,0.12808641975308643,154,22,83,f1,0.7436926285784456,0.3125,0.5239897643672033,0.16666666666666666,0.18072289156626506,0.17341040462427745,0.15524800197649352,0.5449834737178804
HydraulicSystems,stable_flag,5,40,Graph Ridge Logistic,1296,216,648,0.11882716049382716,0.10185185185185185,0.12808641975308643,154,22,83,f1,0.025147130748804376,0.4225352112676056,0.5100223904467427,0.1323529411764706,0.5421686746987951,0.2127659574468085,0.1136904684480129,0.4777481607847318
HydraulicSystems,stable_flag,5,40,Sensor+Graph Logistic,1296,216,648,0.11882716049382716,0.10185185185185185,0.12808641975308643,154,22,83,f1,0.10832007078126525,0.3106796116504854,0.5344812879837936,0.1368421052631579,0.9397590361445783,0.23889739663093415,0.11040869080644072,0.4678963642179337
HydraulicSystems,stable_flag,5,40,STCG-v1 Selected Logistic,1296,216,648,0.11882716049382716,0.10185185185185185,0.12808641975308643,154,22,83,f1,0.052514272817567986,0.28187919463087246,0.5187333404414116,0.13527851458885942,0.6144578313253012,0.2217391304347826,0.13792692880575314,0.5278387887834524
HydraulicSystems,stable_flag,5,40,Sensor+STCG-v1 Logistic,1296,216,648,0.11882716049382716,0.10185185185185185,0.12808641975308643,154,22,83,f1,0.014567439542733391,0.34146341463414637,0.5162064185947329,0.13246268656716417,0.8554216867469879,0.2294022617124394,0.16531848094744744,0.5577566904787291
HydraulicSystems,stable_flag,10,40,Train Majority,1293,215,647,0.22815158546017014,0.19069767441860466,0.24420401854714066,295,41,158,f1,0.22815158546017014,0.3203125,0.5,0.24420401854714066,1.0,0.39254658385093166,0.24420401854714066,0.5
HydraulicSystems,stable_flag,10,40,Sensor Logistic,1293,215,647,0.22815158546017014,0.19069767441860466,0.24420401854714066,295,41,158,f1,0.27702897616541944,0.3780487804878049,0.5,0.24420401854714066,1.0,0.39254658385093166,0.2560845589883315,0.4827729025911832
HydraulicSystems,stable_flag,10,40,Graph Ridge Logistic,1293,215,647,0.22815158546017014,0.19069767441860466,0.24420401854714066,295,41,158,f1,4.127674006603943e-05,0.36936936936936937,0.5272708446584349,0.2557726465364121,0.9113924050632911,0.39944521497919555,0.26851103110347685,0.5246693070332117
HydraulicSystems,stable_flag,10,40,Sensor+Graph Logistic,1293,215,647,0.22815158546017014,0.19069767441860466,0.24420401854714066,295,41,158,f1,5.956713063838352e-05,0.430939226519337,0.5337941031813829,0.2582897033158813,0.9367088607594937,0.4049247606019152,0.2676153923957731,0.5358132070099143
HydraulicSystems,stable_flag,10,40,STCG-v1 Selected Logistic,1293,215,647,0.22815158546017014,0.19069767441860466,0.24420401854714066,295,41,158,f1,0.26301801511431333,0.4,0.5664751106624214,0.28292682926829266,0.7341772151898734,0.4084507042253521,0.2453520794768969,0.5451580337035024
HydraulicSystems,stable_flag,10,40,Sensor+STCG-v1 Logistic,1293,215,647,0.22815158546017014,0.19069767441860466,0.24420401854714066,295,41,158,f1,0.005075880797855794,0.47560975609756095,0.5629093215293417,0.27079646017699116,0.9683544303797469,0.42323651452282157,0.26471805845011964,0.5843364137609692
