dataset,seed,setting,method,ridge_alpha,graph_min_weight,graph_weight_power,graph_self_weight,state_count,auto_states,min_state_improvement,threshold_passed,kmeans_improvement,temporal_coherence,n_windows,true_state_count,inferred_state_count,adjusted_rand,aligned_accuracy,mean_label_purity,true_label_counts,inferred_state_counts,state_mapping,mae,rmse,node_rmse_mean,node_rmse_max
UCIHARWindowSignals,0,auto_k3_min_0.00,STCG-v1 Weighted Ridge,100.0,0.01,4.0,1.0,3,True,0.0,True,0.08344919770209527,0.07039106145251398,180,6,3,0.0805927076340554,0.34444444444444444,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:45;1:45;2:90,"{""0"": ""STANDING"", ""1"": ""WALKING"", ""2"": ""LAYING""}",0.3232370420018868,0.6789311874912636,0.6283912922608518,0.9142816219958504
UCIHARWindowSignals,0,auto_k3_min_0.04,Dense Ridge,30.0,,,,3,True,0.04,True,0.08344919770209527,0.07039106145251398,180,6,3,0.0805927076340554,0.34444444444444444,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:45;1:45;2:90,"{""0"": ""STANDING"", ""1"": ""WALKING"", ""2"": ""LAYING""}",0.3228103533621915,0.6797916270352214,0.6287594191997212,0.9146757713502421
UCIHARWindowSignals,0,auto_k3_min_0.04,DynVAR-Lasso Weighted Ridge,30.0,0.01,4.0,1.0,3,True,0.04,True,0.08344919770209527,0.07039106145251398,180,6,3,0.0805927076340554,0.34444444444444444,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:45;1:45;2:90,"{""0"": ""STANDING"", ""1"": ""WALKING"", ""2"": ""LAYING""}",0.32047097797356,0.6786703965069079,0.6276494479383902,0.9148400937660098
UCIHARWindowSignals,0,auto_k3_min_0.04,STCG-v1 Weighted Ridge,30.0,0.01,4.0,1.0,3,True,0.04,True,0.08344919770209527,0.07039106145251398,180,6,3,0.0805927076340554,0.34444444444444444,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:45;1:45;2:90,"{""0"": ""STANDING"", ""1"": ""WALKING"", ""2"": ""LAYING""}",0.32198324316043087,0.6792973955359471,0.6282271830789493,0.9146746574918084
UCIHARWindowSignals,0,auto_k3_min_0.04,Dense Ridge,100.0,,,,3,True,0.04,True,0.08344919770209527,0.07039106145251398,180,6,3,0.0805927076340554,0.34444444444444444,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:45;1:45;2:90,"{""0"": ""STANDING"", ""1"": ""WALKING"", ""2"": ""LAYING""}",0.3248607761418505,0.6796550916006857,0.6293166483385894,0.9140601928068258
UCIHARWindowSignals,0,auto_k3_min_0.04,DynVAR-Lasso Weighted Ridge,100.0,0.01,4.0,1.0,3,True,0.04,True,0.08344919770209527,0.07039106145251398,180,6,3,0.0805927076340554,0.34444444444444444,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:45;1:45;2:90,"{""0"": ""STANDING"", ""1"": ""WALKING"", ""2"": ""LAYING""}",0.32137746963044955,0.6791994171717621,0.6285675260876834,0.9162524931997263
UCIHARWindowSignals,0,auto_k3_min_0.04,STCG-v1 Weighted Ridge,100.0,0.01,4.0,1.0,3,True,0.04,True,0.08344919770209527,0.07039106145251398,180,6,3,0.0805927076340554,0.34444444444444444,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:45;1:45;2:90,"{""0"": ""STANDING"", ""1"": ""WALKING"", ""2"": ""LAYING""}",0.3232370420018868,0.6789311874912636,0.6283912922608518,0.9142816219958504
UCIHARWindowSignals,0,auto_k3_min_0.08,Dense Ridge,30.0,,,,3,True,0.08,True,0.08344919770209527,0.07039106145251398,180,6,3,0.0805927076340554,0.34444444444444444,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:45;1:45;2:90,"{""0"": ""STANDING"", ""1"": ""WALKING"", ""2"": ""LAYING""}",0.3228103533621915,0.6797916270352214,0.6287594191997212,0.9146757713502421
UCIHARWindowSignals,0,auto_k3_min_0.08,DynVAR-Lasso Weighted Ridge,30.0,0.01,4.0,1.0,3,True,0.08,True,0.08344919770209527,0.07039106145251398,180,6,3,0.0805927076340554,0.34444444444444444,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:45;1:45;2:90,"{""0"": ""STANDING"", ""1"": ""WALKING"", ""2"": ""LAYING""}",0.32047097797356,0.6786703965069079,0.6276494479383902,0.9148400937660098
UCIHARWindowSignals,0,auto_k3_min_0.08,STCG-v1 Weighted Ridge,30.0,0.01,4.0,1.0,3,True,0.08,True,0.08344919770209527,0.07039106145251398,180,6,3,0.0805927076340554,0.34444444444444444,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:45;1:45;2:90,"{""0"": ""STANDING"", ""1"": ""WALKING"", ""2"": ""LAYING""}",0.32198324316043087,0.6792973955359471,0.6282271830789493,0.9146746574918084
UCIHARWindowSignals,0,auto_k3_min_0.08,Dense Ridge,100.0,,,,3,True,0.08,True,0.08344919770209527,0.07039106145251398,180,6,3,0.0805927076340554,0.34444444444444444,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:45;1:45;2:90,"{""0"": ""STANDING"", ""1"": ""WALKING"", ""2"": ""LAYING""}",0.3248607761418505,0.6796550916006857,0.6293166483385894,0.9140601928068258
UCIHARWindowSignals,0,auto_k3_min_0.08,DynVAR-Lasso Weighted Ridge,100.0,0.01,4.0,1.0,3,True,0.08,True,0.08344919770209527,0.07039106145251398,180,6,3,0.0805927076340554,0.34444444444444444,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:45;1:45;2:90,"{""0"": ""STANDING"", ""1"": ""WALKING"", ""2"": ""LAYING""}",0.32137746963044955,0.6791994171717621,0.6285675260876834,0.9162524931997263
UCIHARWindowSignals,0,auto_k3_min_0.08,STCG-v1 Weighted Ridge,100.0,0.01,4.0,1.0,3,True,0.08,True,0.08344919770209527,0.07039106145251398,180,6,3,0.0805927076340554,0.34444444444444444,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:45;1:45;2:90,"{""0"": ""STANDING"", ""1"": ""WALKING"", ""2"": ""LAYING""}",0.3232370420018868,0.6789311874912636,0.6283912922608518,0.9142816219958504
