config_id,config_rank,selection_objective,stcg_window_size,stcg_window_stride,state_count_distribution,inferred_state_count_distribution,dynamic_feature_nonzero_variance,dataset,label_column,horizon_cycles,lookback_cycles,method,train_rows,validation_rows,test_rows,train_positive_rate,validation_positive_rate,test_positive_rate,train_positives,validation_positives,test_positives,threshold_metric,threshold,validation_threshold_metric,balanced_accuracy,precision,recall,f1,average_precision,roc_auc
transition_L30_W24_S8,7,transition,24,8,2:2170,2:2170,4,HydraulicSystems,stable_flag,5,30,Sensor+STCG-v1 Logistic,1302,217,651,0.11827956989247312,0.10138248847926268,0.12749615975422426,154,22,83,f1,0.0012132775203745046,0.358974358974359,0.5226539962667571,0.1388888888888889,0.4819277108433735,0.215633423180593,0.18023846432320803,0.5872221279484133
transition_L30_W24_S8,7,transition,24,8,2:2165,2:2165,4,HydraulicSystems,stable_flag,10,30,Train Majority,1299,217,649,0.22478829869130101,0.20276497695852536,0.24345146379044685,292,44,158,f1,0.22478829869130101,0.3371647509578544,0.5,0.24345146379044685,1.0,0.3915737298636927,0.24345146379044685,0.5
transition_L30_W24_S8,7,transition,24,8,2:2165,2:2165,4,HydraulicSystems,stable_flag,10,30,Sensor Logistic,1299,217,649,0.22478829869130101,0.20276497695852536,0.24345146379044685,292,44,158,f1,0.11702406715547757,0.422680412371134,0.5,0.24345146379044685,1.0,0.3915737298636927,0.3735715757037005,0.5893810100801773
transition_L30_W24_S8,7,transition,24,8,2:2165,2:2165,4,HydraulicSystems,stable_flag,10,30,Graph Ridge Logistic,1299,217,649,0.22478829869130101,0.20276497695852536,0.24345146379044685,292,44,158,f1,0.0991875858086727,0.39622641509433965,0.5324512103946994,0.26370757180156656,0.6392405063291139,0.3733826247689464,0.24075010168040947,0.5261027610920621
transition_L30_W24_S8,7,transition,24,8,2:2165,2:2165,4,HydraulicSystems,stable_flag,10,30,Sensor+Graph Logistic,1299,217,649,0.22478829869130101,0.20276497695852536,0.24345146379044685,292,44,158,f1,0.007431102645793505,0.4444444444444444,0.6231405810925777,0.30390143737166325,0.9367088607594937,0.45891472868217054,0.2789167808001406,0.5900513032045167
transition_L30_W24_S8,7,transition,24,8,2:2165,2:2165,4,HydraulicSystems,stable_flag,10,30,STCG-v1 Selected Logistic,1299,217,649,0.22478829869130101,0.20276497695852536,0.24345146379044685,292,44,158,f1,0.025921761793198404,0.3776223776223776,0.5767227822320761,0.2857142857142857,0.7848101265822784,0.4189189189189189,0.28565045092668495,0.6050168862306324
transition_L30_W24_S8,7,transition,24,8,2:2165,2:2165,4,HydraulicSystems,stable_flag,10,30,Sensor+STCG-v1 Logistic,1299,217,649,0.22478829869130101,0.20276497695852536,0.24345146379044685,292,44,158,f1,0.0009641996196286933,0.4861111111111111,0.5695622470287969,0.27824267782426776,0.8417721518987342,0.41823899371069184,0.30191634844023557,0.6045915079017246
transition_L40_W16_S8,8,transition,16,8,4:2162,4:2162,8,HydraulicSystems,valve_condition,3,40,Train Majority,1297,216,649,0.19429452582883577,0.16666666666666666,0.2218798151001541,252,36,144,f1,0.19429452582883577,0.2857142857142857,0.5,0.2218798151001541,1.0,0.36317780580075665,0.2218798151001541,0.5
transition_L40_W16_S8,8,transition,16,8,4:2162,4:2162,8,HydraulicSystems,valve_condition,3,40,Sensor Logistic,1297,216,649,0.19429452582883577,0.16666666666666666,0.2218798151001541,252,36,144,f1,0.2054062389645499,0.330188679245283,0.5,0.2218798151001541,1.0,0.36317780580075665,0.222374668338375,0.48659240924092406
transition_L40_W16_S8,8,transition,16,8,4:2162,4:2162,8,HydraulicSystems,valve_condition,3,40,Graph Ridge Logistic,1297,216,649,0.19429452582883577,0.16666666666666666,0.2218798151001541,252,36,144,f1,0.11362706981329951,0.32142857142857145,0.5220778327832784,0.2318548387096774,0.7986111111111112,0.359375,0.22528819359762225,0.5241199119911991
transition_L40_W16_S8,8,transition,16,8,4:2162,4:2162,8,HydraulicSystems,valve_condition,3,40,Sensor+Graph Logistic,1297,216,649,0.19429452582883577,0.16666666666666666,0.2218798151001541,252,36,144,f1,0.04528590847660956,0.32160804020100503,0.495984598459846,0.22042139384116693,0.9444444444444444,0.35742444152431013,0.23010576447280046,0.5380638063806381
transition_L40_W16_S8,8,transition,16,8,4:2162,4:2162,8,HydraulicSystems,valve_condition,3,40,STCG-v1 Selected Logistic,1297,216,649,0.19429452582883577,0.16666666666666666,0.2218798151001541,252,36,144,f1,0.2725300638321743,0.3472222222222222,0.5526058855885588,0.2549019607843137,0.6319444444444444,0.36327345309381237,0.2761179139250619,0.5736111111111111
transition_L40_W16_S8,8,transition,16,8,4:2162,4:2162,8,HydraulicSystems,valve_condition,3,40,Sensor+STCG-v1 Logistic,1297,216,649,0.19429452582883577,0.16666666666666666,0.2218798151001541,252,36,144,f1,0.054107391166889104,0.35428571428571426,0.5801361386138614,0.3103448275862069,0.4375,0.3631123919308357,0.2901049731165108,0.5718371837183719
transition_L40_W16_S8,8,transition,16,8,4:2160,4:2160,8,HydraulicSystems,valve_condition,5,40,Train Majority,1296,216,648,0.32407407407407407,0.2777777777777778,0.37037037037037035,420,60,240,f1,0.32407407407407407,0.43478260869565216,0.5,0.37037037037037035,1.0,0.5405405405405406,0.37037037037037035,0.5
transition_L40_W16_S8,8,transition,16,8,4:2160,4:2160,8,HydraulicSystems,valve_condition,5,40,Sensor Logistic,1296,216,648,0.32407407407407407,0.2777777777777778,0.37037037037037035,420,60,240,f1,0.17181809825337185,0.49382716049382713,0.5,0.37037037037037035,1.0,0.5405405405405406,0.40361077974525594,0.5196486928104574
transition_L40_W16_S8,8,transition,16,8,4:2160,4:2160,8,HydraulicSystems,valve_condition,5,40,Graph Ridge Logistic,1296,216,648,0.32407407407407407,0.2777777777777778,0.37037037037037035,420,60,240,f1,0.20503981959506384,0.48,0.5540441176470589,0.408983451536643,0.7208333333333333,0.521870286576169,0.41097569196800054,0.5537479575163399
transition_L40_W16_S8,8,transition,16,8,4:2160,4:2160,8,HydraulicSystems,valve_condition,5,40,Sensor+Graph Logistic,1296,216,648,0.32407407407407407,0.2777777777777778,0.37037037037037035,420,60,240,f1,0.009516913073745498,0.47413793103448276,0.5268382352941177,0.38475177304964536,0.9041666666666667,0.5398009950248757,0.4245979487687791,0.567984068627451
transition_L40_W16_S8,8,transition,16,8,4:2160,4:2160,8,HydraulicSystems,valve_condition,5,40,STCG-v1 Selected Logistic,1296,216,648,0.32407407407407407,0.2777777777777778,0.37037037037037035,420,60,240,f1,0.0422315252200423,0.48582995951417,0.5169117647058824,0.3790186125211506,0.9333333333333333,0.5391095066185319,0.43078637129001385,0.5848243464052287
transition_L40_W16_S8,8,transition,16,8,4:2160,4:2160,8,HydraulicSystems,valve_condition,5,40,Sensor+STCG-v1 Logistic,1296,216,648,0.32407407407407407,0.2777777777777778,0.37037037037037035,420,60,240,f1,0.060880968782445415,0.5445544554455446,0.5422794117647058,0.42792792792792794,0.3958333333333333,0.41125541125541126,0.436048718858186,0.5768790849673202
transition_L40_W16_S8,8,transition,16,8,4:2155,4:2155,8,HydraulicSystems,valve_condition,10,40,Train Majority,1293,215,647,0.6504253673627224,0.5534883720930233,0.7418856259659969,841,119,480,f1,0.6504253673627224,0.7125748502994012,0.5,0.7418856259659969,1.0,0.8518189884649512,0.7418856259659969,0.5
transition_L40_W16_S8,8,transition,16,8,4:2155,4:2155,8,HydraulicSystems,valve_condition,10,40,Sensor Logistic,1293,215,647,0.6504253673627224,0.5534883720930233,0.7418856259659969,841,119,480,f1,0.10126050918982062,0.8040540540540541,0.5,0.7418856259659969,1.0,0.8518189884649512,0.8519420082623061,0.6456337325349301
transition_L40_W16_S8,8,transition,16,8,4:2155,4:2155,8,HydraulicSystems,valve_condition,10,40,Graph Ridge Logistic,1293,215,647,0.6504253673627224,0.5534883720930233,0.7418856259659969,841,119,480,f1,0.031132759676153053,0.8484848484848485,0.6551521956087825,0.816247582205029,0.8791666666666667,0.8465396188565697,0.8986247974940833,0.7624875249500999
transition_L40_W16_S8,8,transition,16,8,4:2155,4:2155,8,HydraulicSystems,valve_condition,10,40,Sensor+Graph Logistic,1293,215,647,0.6504253673627224,0.5534883720930233,0.7418856259659969,841,119,480,f1,0.001771869660781517,0.7125748502994012,0.5039046906187625,0.7433903576982893,0.9958333333333333,0.8512911843276937,0.9088342737118289,0.7714071856287423
transition_L40_W16_S8,8,transition,16,8,4:2155,4:2155,8,HydraulicSystems,valve_condition,10,40,STCG-v1 Selected Logistic,1293,215,647,0.6504253673627224,0.5534883720930233,0.7418856259659969,841,119,480,f1,0.11342413480381847,0.8161764705882353,0.5314683133732535,0.7585470085470085,0.7395833333333334,0.7489451476793249,0.7743601379422143,0.5542914171656687
transition_L40_W16_S8,8,transition,16,8,4:2155,4:2155,8,HydraulicSystems,valve_condition,10,40,Sensor+STCG-v1 Logistic,1293,215,647,0.6504253673627224,0.5534883720930233,0.7418856259659969,841,119,480,f1,0.0012791185876841636,0.7959183673469388,0.5028630239520958,0.7429906542056075,0.99375,0.8502673796791443,0.7827015347911916,0.5317490019960079
transition_L40_W16_S8,8,transition,16,8,4:2162,4:2162,8,HydraulicSystems,stable_flag,3,40,Train Majority,1297,216,649,0.07555898226676946,0.06481481481481481,0.08166409861325115,98,14,53,f1,0.07555898226676946,0.12173913043478261,0.5,0.08166409861325115,1.0,0.150997150997151,0.08166409861325115,0.5
