dataset,seed,rank,lag,source,target,source_index,target_index,score
synthetic_switching,4,15,2,x3,x4,3,4,0.14771449490418465
synthetic_switching,4,16,2,x4,x3,4,3,0.14209787728323225
synthetic_switching,4,17,2,x0,x1,0,1,0.13829459011453155
synthetic_switching,4,18,1,x3,x1,3,1,0.13782652571452067
synthetic_switching,4,19,2,x5,x1,5,1,0.13782426257737165
synthetic_switching,4,20,1,x2,x4,2,4,0.13697658755678507
synthetic_switching,4,21,2,x1,x3,1,3,0.1368719881492099
synthetic_switching,4,22,3,x1,x7,1,7,0.13111660714455062
synthetic_switching,4,23,2,x1,x4,1,4,0.12617331183435515
synthetic_switching,4,24,2,x6,x7,6,7,0.12608800055112876
synthetic_switching,4,25,2,x5,x6,5,6,0.12086495959909171
synthetic_switching,4,26,1,x5,x2,5,2,0.11912760950176063
synthetic_switching,4,27,2,x2,x0,2,0,0.11828820759908493
synthetic_switching,4,28,2,x2,x6,2,6,0.11746539606957453
synthetic_switching,4,29,1,x6,x2,6,2,0.11588356067892347
synthetic_switching,4,30,2,x7,x0,7,0,0.11470617650277187
