dataset,method,n,graph_fraction,lasso_alpha,window_size,window_stride,feature_budget_per_target,mae_mean,mae_std,rmse_mean,rmse_std,node_rmse_mean_mean,node_rmse_mean_std,node_rmse_max_mean,node_rmse_max_std,delta_vs_dense_rmse,delta_vs_persistence_rmse,beats_dense,beats_persistence
ETTh2,Dense Ridge,1,0.5,0.005,1200,600,0,0.14568753375326596,0.0,0.22713709128933027,0.0,0.20431623768537582,0.0,0.31157904569612505,0.0,0.0,-0.018453463292301353,False,True
ETTh2,Dense Ridge,1,0.5,0.01,300,150,0,0.14568753375326596,0.0,0.22713709128933027,0.0,0.20431623768537582,0.0,0.31157904569612505,0.0,0.0,-0.018453463292301353,False,True
ETTh2,Dense Ridge,1,0.5,0.01,600,300,0,0.14568753375326596,0.0,0.22713709128933027,0.0,0.20431623768537582,0.0,0.31157904569612505,0.0,0.0,-0.018453463292301353,False,True
ETTh2,Dense Ridge,1,0.5,0.01,1200,600,0,0.14568753375326596,0.0,0.22713709128933027,0.0,0.20431623768537582,0.0,0.31157904569612505,0.0,0.0,-0.018453463292301353,False,True
ETTh2,Dense Ridge,1,0.75,0.001,300,150,0,0.14568753375326596,0.0,0.22713709128933027,0.0,0.20431623768537582,0.0,0.31157904569612505,0.0,0.0,-0.018453463292301353,False,True
ETTh2,Dense Ridge,1,0.75,0.001,600,300,0,0.14568753375326596,0.0,0.22713709128933027,0.0,0.20431623768537582,0.0,0.31157904569612505,0.0,0.0,-0.018453463292301353,False,True
ETTh2,Dense Ridge,1,0.75,0.001,1200,600,0,0.14568753375326596,0.0,0.22713709128933027,0.0,0.20431623768537582,0.0,0.31157904569612505,0.0,0.0,-0.018453463292301353,False,True
ETTh2,Dense Ridge,1,0.75,0.003,300,150,0,0.14568753375326596,0.0,0.22713709128933027,0.0,0.20431623768537582,0.0,0.31157904569612505,0.0,0.0,-0.018453463292301353,False,True
ETTh2,Dense Ridge,1,0.75,0.003,600,300,0,0.14568753375326596,0.0,0.22713709128933027,0.0,0.20431623768537582,0.0,0.31157904569612505,0.0,0.0,-0.018453463292301353,False,True
ETTh2,Dense Ridge,1,0.75,0.003,1200,600,0,0.14568753375326596,0.0,0.22713709128933027,0.0,0.20431623768537582,0.0,0.31157904569612505,0.0,0.0,-0.018453463292301353,False,True
